Unnamed: 0,Name,Block,Reactor,Status,Net performance MW,Gross performance MW,Commissioning (planned),Shutdown (planned),Sleepment [11] (TWH),country,lat,lon,decommission_year,commission_year
102,Gravelines,5,Druckwasserreaktor,In Betrieb,910.0,951,28.08.1984,(14.01.2025),188.77,France,51.01361111,2.136111111,2028,1984.0
103,Gravelines,6,Druckwasserreaktor,In Betrieb,910.0,951,01.08.1985,(14.10.2025),187.91,France,51.01361111,2.136111111,2028,1985.0
104,Marcoule,G-2,UNGG-Reaktor,Stillgelegt,38.0,43,22.04.1959,02.02.1980,0.85,France,44.15,4.716666667,1980,1959.0
105,Marcoule,G-3,UNGG-Reaktor,Stillgelegt,0.0,51,04.04.1960,20.06.1984,10.5,France,44.15,4.716666667,1984,1960.0
106,Nogent,1,Druckwasserreaktor,In Betrieb,1310.0,1363,21.10.1987,(14.02.2028),232.07,France,48.51611111,3.517777778,2028,1987.0
107,Nogent,2,Druckwasserreaktor,In Betrieb,1310.0,1363,14.12.1988,(14.05.2029),228.13,France,48.51611111,3.517777778,2029,1988.0
108,Paluel,1,Druckwasserreaktor,In Betrieb,1330.0,1382,22.06.1984,(14.12.2025),257.2,France,49.85805556,0.635555556,2025,1984.0
109,Paluel,2,Druckwasserreaktor,In Betrieb,1330.0,1382,14.09.1984,(14.12.2025),247.99,France,49.85805556,0.635555556,2025,1984.0
110,Paluel,3,Druckwasserreaktor,In Betrieb,1330.0,1382,30.09.1985,(15.02.2026),239.57,France,49.85805556,0.635555556,2026,1985.0
111,Paluel,4,Druckwasserreaktor,In Betrieb,1330.0,1382,11.04.1986,(15.06.2026),246.89,France,49.85805556,0.635555556,2026,1986.0
112,Penly,1,Druckwasserreaktor,In Betrieb,1330.0,1382,04.05.1990,(14.12.2030),224.49,France,49.97666667,1.211944444,2030,1990.0
113,Penly,2,Druckwasserreaktor,In Betrieb,1330.0,1382,04.02.1992,(14.11.2032),209.96,France,49.97666667,1.211944444,2032,1992.0
114,Phénix [21],–,Schneller Brutreaktor,Stillgelegt,130.0,140,13.12.1973,01.02.2009,24.44,France,44.14333333,4.711666667,2009,1973.0
115,Saint-Alban,1,Druckwasserreaktor,In Betrieb,1335.0,1381,30.08.1985,(14.05.2026),237.7,France,45.40472222,4.755833333,2026,1985.0
116,Saint-Alban,2,Druckwasserreaktor,In Betrieb,1335.0,1381,03.07.1986,(15.03.2027),232.73,France,45.40472222,4.755833333,2027,1986.0
117,Saint-Laurent,A1,UNGG-Reaktor,Stillgelegt,480.0,500,14.03.1969,18.04.1990,45.3,France,47.72055556,1.578611111,1990,1969.0
118,Saint-Laurent,A2,UNGG-Reaktor,Stillgelegt,515.0,530,09.08.1971,27.05.1992,46.92,France,47.72055556,1.578611111,1992,1971.0
119,Saint-Laurent,B1,Druckwasserreaktor,In Betrieb,915.0,956,21.01.1981,(15.08.2023),189.8,France,47.72055556,1.578611111,2023,1981.0
120,Saint-Laurent,B2,Druckwasserreaktor,In Betrieb,915.0,956,01.06.1981,(15.08.2023),188.35,France,47.72055556,1.578611111,2023,1981.0
121,Creys-Malville,–,Superphénix (Brutreaktor),Stillgelegt,1.2,1242,14.01.1986,31.12.1998,3.39,France,45.75833333,5.472222222,1998,1986.0
122,Tricastin,1,Druckwasserreaktor,In Betrieb,915.0,955,31.05.1980,(15.12.2020)  [veraltet],207.81,France,44.32972222,4.732222222,2020,1980.0
123,Tricastin,2,Druckwasserreaktor,In Betrieb,915.0,955,07.08.1980,(15.12.2020)  [veraltet],205.62,France,44.32972222,4.732222222,2020,1980.0
124,Tricastin,3,Druckwasserreaktor,In Betrieb,915.0,955,10.02.1981,(14.05.2021)  [veraltet],211,France,44.32972222,4.732222222,2021,1981.0
125,Tricastin,4,Druckwasserreaktor,In Betrieb,915.0,955,12.06.1981,(15.11.2021),205.24,France,44.32972222,4.732222222,2021,1981.0
126,Caorso,1,BWR,Stillgelegt,860.0,882,01.12.1981,"01.07.1990, de facto 1986",27.73,Ireland,45.07222222,9.872222222,1986,1981.0
127,Enrico Fermi,1,PWR,Stillgelegt,260.0,270,01.01.1965,"01.07.1990, de facto 1987",24.31,Ireland,45.18409374,8.277554512,1987,1965.0
128,Garigliano,1,BWR,Stillgelegt,150.0,160,01.06.1964,01.03.1982,12.25,Ireland,41.25833333,13.83472222,1982,1964.0
129,Latina,1,GCR,Stillgelegt,153.0,160,01.01.1964,"01.12.1987, de facto 1986",25.49,Ireland,41.425384,12.807001,1986,1964.0
130,Ignalina,1,LWGR,Stillgelegt,1185.0,1300,01.05.1985,31.12.2004,86.39,Lithuania,55.60434185,26.56266689,2004,1985.0
131,Ignalina,2,LWGR,Stillgelegt,1185.0,1300,01.12.1987,31.12.2009,155.19,Lithuania,55.60434185,26.56266689,2009,1987.0
132,Borssele,1,PWR,In Betrieb,482.0,515,26.10.1973,(2034)  [28],152.33,Netherlands,51.43083333,3.718333333,2034,1973.0
133,Dodewaard,1,BWR,Stillgelegt,55.0,60,26.03.1969,26.03.1997,10.93,Netherlands,51.89956944,5.686327778,1997,1969.0
134,Cernavodă,1,PHWR,In Betrieb,650.0,706,02.12.1996,–,114.28,Romania,44.32234722,28.05728056,2051,1996.0
135,Cernavodă,2,PHWR,In Betrieb,650.0,705,01.11.2007,–,60.69,Romania,44.32234722,28.05728056,2051,2007.0
136,Ågesta,1,PHWR,Stillgelegt,10.0,12,01.05.1964,02.06.1974,0.4,Sweden,59.20611111,18.0825,1974,1964.0
137,Barsebäck,1,BWR,Stillgelegt,600.0,615,01.07.1975,30.11.1999,93.82,Sweden,55.74444444,12.92083333,1999,1975.0
138,Barsebäck,2,BWR,Stillgelegt,600.0,615,01.07.1977,31.05.2005,108.04,Sweden,55.74444444,12.92083333,2005,1977.0
139,Forsmark,1,BWR,In Betrieb,986.0,1022,10.12.1980,–,266.4,Sweden,60.40333333,18.16666667,2051,1980.0
140,Forsmark,2,BWR,In Betrieb,1116.0,1156,07.07.1981,–,260.78,Sweden,60.40333333,18.16666667,2051,1981.0
141,Forsmark,3,BWR,In Betrieb,1159.0,1195,18.08.1985,–,284.05,Sweden,60.40333333,18.16666667,2051,1985.0
142,Oskarshamn,1,BWR,Stillgelegt,473.0,492,06.02.1972,19.06.2017,110.27,Sweden,57.41555556,16.67111111,2017,1972.0
143,Oskarshamn,2,BWR,Stillgelegt,638.0,661,01.01.1975,22.12.2016,154,Sweden,57.41555556,16.67111111,2016,1975.0
