Boiler_Model_Type,GEO_Assigned_Identification_Number,Chimney_Height_m_nbr,Capacity_MWe_nbr,Date_Commissioned_dt,Turbine_Manufacturer,Boiler_Manufacturer,Generator_Manufacturer,Unit_Nbr,Turbine_Model_Type,Decommission_Date_dt,Unit_Efficiency_Percent_nbr,Generator_Model_Type,Control_NOx_yr,Control_SOx_yr,Control_PM_yr,Control_Hg_yr,Control_N2O_yr,Boiler_HRSG_Manufacturer,Unit_Efficiency_Percent,Chimney_Height_nbr,Boiler_HRSG_Model_Type,Diesel_Engine_Boiler_Manufacturer,Diesel_Engine_Boiler_Model_Type,Hydraulic_Head_m_nbr,Speed_RPM_nbr,Injection_Wells_nbr,Production_Wells_nbr,Pipe_Network_Length_km_nbr,Reactor_Manufacturer,Reactor_Type_Model,IAEA_ID,Construction_Start_Date_dt,Generator_Type_Model,Turbine_Type_Model,Panel_Manufacturer,Invertor_Manufacturer,Panel_Type_Model,Invertor_Type_Model,Number_Of_Panels_nbr,Storage_Backup_System,Solar_to_Electric_Efficiency_Percent_nbr,HCE_Manufacturer,Number_Of_Turbines_nbr,Rotor_Diameter_m_nbr,Peak_MWe_per_Turbine_nbr,Hub_Height_m_nbr,Max_Production_at_wind_speed_m_sec_nbr,Turbine_Model,Capacity_Factor_Percent_nbr
,43144,,380,1981-12-00,Toshiba,,Toshiba,4,ST-4 Reheat Condensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43146,,150,1969-00-00,Siemens,John Thompson,Siemens,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43147,,20,1958-00-00,Metropolitan Vickers (MV),Mitchell,Stal,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43147,,30,1959-00-00,Metropolitan Vickers (MV),Mitchell,Stal,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43147,,30,1959-00-00,Metropolitan Vickers (MV),Mitchell,Stal,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43147,,30,1959-00-00,Metropolitan Vickers (MV),Mitchell,Stal,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43147,,60,1962-00-00,Metropolitan Vickers (MV),Mitchell,Stal,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40750,,60,1966-04-21,Parsons,,Parsons,1,,2007-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40750,,60,1966-04-21,Parsons,,Parsons,2,,2007-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40750,,60,1966-04-21,Parsons,,Parsons,3,,2007-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40750,,60,1966-04-21,Parsons,,Parsons,4,,2007-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40750,,200,1981-00-00,Toshiba,International Combustion Limited (ICL),Toshiba,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40750,,200,1981-00-00,Toshiba,International Combustion Limited (ICL),Toshiba,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40750,,227,1985-00-00,Toshiba,International Combustion Limited (ICL),Toshiba,7,ST-7 Reheat Condensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40750,,227,1986-00-00,Toshiba,International Combustion Limited (ICL),Toshiba,8,ST-8 Reheat Condensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40751,,330,1999-00-00,ABB,Clyde Babcock-Hitachi,ABB,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40752,,229,2009-00-00,Alstom,Ishikawajima-Harima Heavy Industries,Alstom,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40752,,229,2009-00-00,Alstom,Ishikawajima-Harima Heavy Industries,Alstom,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40753,,120,1970-09-00,Parsons,Dodds,Parsons,1,,2003-00-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40753,,120,1971-11-00,Parsons,Dodds,Parsons,2,,2003-00-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40753,,120,1972-10-00,Parsons,Dodds,Parsons,3,,2008-12-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40753,,120,1973-12-00,Parsons,Dodds,Parsons,4,,2008-12-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40753,,200,1976-03-00,Parsons,International Combustion Limited,Parsons,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40753,,200,1978-04-00,Parsons,International Combustion Limited,Parsons,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40753,,20,1980-00-00,,,,7,GT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41172,,130,1982-00-00,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi Fuel CFB,43270,,57,2012-00-00,Siemens,AE&E,,1,backpressure reheat extraction steam turbines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi Fuel CFB,43270,,57,2012-00-00,Siemens,AE&E,,2,backpressure reheat extraction steam turbines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1135 t/h,45151,210,405,1985-12-00,Kraftwerk Union AG,Simmering-Graz-Pauker AG,Weiz Elin,1,ST-1,,,,1986,1986,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1018 t/h,45151,210,352,1985-12-00,Maschinenfabrik Augsburg Nuernberg (MAN),Simmering-Graz-Pauker AG,Elin,2,ST-2,,,,1986,1986,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45150,175,246,1986-12-00,Brown Boveri & Cie (BBC),Waagner-Biro,Elin,1,ST-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45719,,12,1955-00-00,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45719,,21,1972-00-00,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45719,,38,1999-00-00,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40466,,125,2006-01-03,Shanghai,Shanghai,Shanghai,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40466,,125,2006-01-03,Shanghai,Shanghai,Shanghai,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41998,,124,1963-00-00,,,,1,,2010-00-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41998,,131,1967-00-00,,,,2,,2010-00-00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41956,,85,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
